season,team,d_att,d_dfn
2016,Bournemouth,0.1951519817238581,-0.14355884431783086
2016,Crystal Palace,0.11141609684782924,-0.07244257828383073
2016,Tottenham,0.11396884620788872,0.12808996478423834
2016,Manchester United,0.18595505376366267,0.2514273854006317
2016,Swansea,0.05791500347450104,-0.19720497686056798
2016,Stoke,0.07844359387733667,0.02098105685909757
2016,West Bromwich Albion,0.10512680210788347,-0.013772773318162712
2016,Watford,-0.06075112673246763,-0.17246499997672055
2016,Liverpool,0.163447531542536,0.06673911169079372
2016,Southampton,-0.2183300250763401,0.06854556271094576
2016,West Ham,-0.1847263678010407,-0.13423243751260638
2016,Sunderland,-0.3034167725462846,-0.1546783824839202
2016,Chelsea,0.2106996387020759,0.4139268808878745
2016,Everton,-0.03718307231963307,0.178492146118026
2016,Manchester City,0.16495306935940385,0.21881106627317337
2016,Arsenal,-0.0703550415779075,-0.1946025087944364
2016,Leicester,-0.35845344001105567,-0.2666004765761909
2017,Bournemouth,-0.135818075246849,0.01330976780484483
2017,Crystal Palace,0.11739928172709826,0.009984365515725208
2017,Tottenham,-0.0026578779777974293,-0.10181880124920856
2017,Manchester United,0.12121656016383855,-0.2987809300721319
2017,Swansea,-0.31838009745671514,0.12037195932815214
2017,Stoke,-0.1823597965719725,-0.22024161725851796
2017,West Bromwich Albion,-0.14436906361894433,-0.0457204269677422
2017,Watford,0.16938360381818196,0.033607565057308414
2017,Liverpool,0.1757786000503887,0.09147598826001194
2017,Southampton,-0.10784841636111969,-0.17324113028066698
2017,West Ham,-0.17008733894985217,0.002288186666211306
2017,Burnley,0.012593672658050559,0.15590612782437946
2017,Chelsea,-0.11394775831445544,-0.14323410707734546
2017,Everton,-0.23899757870583044,-0.20096594974149257
2017,Manchester City,0.20120344424160636,0.20256712296111973
2017,Arsenal,0.10187389892983406,-0.11469341412128675
2017,Leicester,0.15467307891207338,0.05299905681361182
2018,Bournemouth,0.19657462225392736,0.049955058695476756
2018,Crystal Palace,-0.1585996475555346,0.11817895927838064
